date,new_cases,new_deaths,new_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_cases_7day_average,new_deaths_7day_average,new_tests_7day_average,total_vaccinations_7day_average,people_vaccinated_7day_average,people_fully_vaccinated_7day_average,new_vaccinations_7day_average
1/30/20,6204,114,485,0,0,0,0,3250,66,411,0,0,0,0
1/31/20,5079,126,391,0,0,0,0,3853,80,426,0,0,0,0
2/1/20,6339,138,600,0,0,0,0,4547,93,480,0,0,0,0
2/2/20,14249,309,383,0,0,0,0,6289,131,487,0,0,0,0
2/3/20,9302,192,403,0,0,0,0,7271,147,474,0,0,0,0
2/4/20,12034,198,594,0,0,0,0,7854,155,480,0,0,0,0
2/5/20,11235,216,890,0,0,0,0,9206,185,535,0,0,0,0
2/6/20,9480,210,706,0,0,0,0,9674,198,567,0,0,0,0
2/7/20,10720,255,781,0,0,0,0,10480,217,622,0,0,0,0
2/8/20,8207,261,1547,0,0,0,0,10747,234,758,0,0,0,0
2/9/20,9089,300,2337,0,0,0,0,10010,233,1037,0,0,0,0
2/10/20,7756,321,1474,0,0,0,0,9789,252,1190,0,0,0,0
2/11/20,6128,300,1340,0,0,0,0,8945,266,1296,0,0,0,0
2/12/20,1214,15,1971,0,0,0,0,7513,237,1451,0,0,0,0
2/13/20,45459,759,1123,0,0,0,0,12653,316,1510,0,0,0,0
2/14/20,19538,456,1797,0,0,0,0,13913,345,1656,0,0,0,0
2/15/20,6363,430,1128,0,0,0,0,13650,369,1596,0,0,0,0
2/16/20,6479,312,2834,0,0,0,0,13277,370,1667,0,0,0,0
2/17/20,6006,294,1687,0,0,0,0,13027,367,1697,0,0,0,0
2/18/20,5558,420,4035,0,0,0,0,12945,384,2082,0,0,0,0
2/19/20,1421,345,2495,0,0,0,0,12975,431,2157,0,0,0,0
2/20/20,1667,373,3073,0,0,0,0,6719,376,2436,0,0,0,0
2/21/20,1904,13,6117,0,0,0,0,4200,312,3053,0,0,0,0
2/22/20,5325,622,9711,0,0,0,0,4051,340,4279,0,0,0,0
2/23/20,1176,33,3814,0,0,0,0,3294,300,4419,0,0,0,0
2/24/20,1766,484,7473,0,0,0,0,2688,327,5245,0,0,0,0
2/25/20,2662,243,14051,0,0,0,0,2274,302,6676,0,0,0,0
2/26/20,3075,185,12398,0,0,0,0,2511,279,8091,0,0,0,0
2/27/20,4330,134,18900,0,0,0,0,2891,245,10352,0,0,0,0
2/28/20,4442,179,27783,0,0,0,0,3254,269,13447,0,0,0,0
2/29/20,6021,215,19673,0,0,0,0,3353,210,14870,0,0,0,0
3/1/20,7850,167,16004,0,0,0,0,4307,230,16612,0,0,0,0
3/2/20,6443,286,18335,0,0,0,0,4975,201,18163,0,0,0,0
3/3/20,8385,254,24745,0,0,0,0,5792,203,19691,0,0,0,0
3/4/20,7794,314,35467,0,0,0,0,6466,221,22987,0,0,0,0
3/5/20,9745,327,22549,0,0,0,0,7240,249,23508,0,0,0,0
3/6/20,13289,390,44726,0,0,0,0,8504,279,25928,0,0,0,0
3/7/20,14285,360,35109,0,0,0,0,9684,300,28134,0,0,0,0
3/8/20,14212,865,28814,0,0,0,0,10593,399,29964,0,0,0,0
3/9/20,15435,686,30268,0,0,0,0,11878,457,31668,0,0,0,0
3/10/20,17234,1007,37649,0,0,0,0,13142,564,33512,0,0,0,0
3/11/20,27637,1269,46352,0,0,0,0,15977,701,35067,0,0,0,0
3/12/20,20646,1114,49027,0,0,0,0,17534,813,38849,0,0,0,0
3/13/20,53324,1861,44179,0,0,0,0,23253,1023,38771,0,0,0,0
3/14/20,40633,1524,63490,0,0,0,0,27017,1189,42826,0,0,0,0
3/15/20,41167,2391,63103,0,0,0,0,30868,1407,47724,0,0,0,0
